lp,x0,liczba wywolan,a,b,x*,y*,liczba wywolan,x*,y*,liczba wywolan 
63,0.00571827,34,0.00203404,0.00320189,0.00241188,0.000812555,32,0.00241206,0.000293993,13
64,0.00577868,34,0.00209445,0.0032623,0.00241217,0.000991145,32,0.00241195,0.000361756,14
65,0.00110906,29,0.00228297,0.00282778,0.00241213,0.000746667,28,0.00241205,0.000217344,11
66,0.00281895,23,0.00236636,0.00250983,0.00241193,0.000509832,22,0.00241201,1.80E-05,10
67,0.00399102,31,0.00191137,0.00257059,0.00241208,0.000447816,30,0.00241207,0.000382334,12
68,0.00866044,38,0.000762966,0.00326636,0.00241193,0.000458065,34,0.00241213,0.000714405,17
69,0.000988713,29,0.00216262,0.00270743,0.00241212,0.000658135,28,0.002412,3.90E-05,12
70,0.000775913,30,0.00219634,0.00285556,0.00241182,0.001169,30,0.00241197,0.000267831,14
71,0.00724764,36,0.00185356,0.00356341,0.0024122,0.00113561,34,0.0024122,0.00115908,14
72,0.00603819,35,0.00158027,0.00299337,0.00241206,0.000278456,32,0.00241196,0.000319129,12
73,0.009038,38,0.00114053,0.00364392,0.00241228,0.00163418,34,0.00241188,0.000781123,12
74,0.00307648,26,0.00227468,0.00252884,0.00241218,0.00102312,26,0.00241228,0.00164088,9
75,0.00714009,36,0.00174601,0.00345586,0.0024122,0.00116156,34,0.00241209,0.000504837,16
76,0.000190809,31,0.00190953,0.00270719,0.002412,7.83E-05,30,0.00241192,0.000557312,12
77,0.0095554,38,0.00165793,0.00416132,0.00241176,0.00149949,34,0.00241192,0.000566163,12
78,0.00952618,38,0.00162871,0.0041321,0.00241188,0.000780407,34,0.0024122,0.00117607,13
79,0.00669594,36,0.00130186,0.00301171,0.00241218,0.00101909,34,0.00241202,8.24E-05,13
80,0.00466781,32,0.00215144,0.00294909,0.00241216,0.000908777,30,0.00241183,0.00107628,14
81,0.00109439,29,0.0022683,0.00281311,0.00241182,0.00116706,28,0.00241199,0.000120666,11
82,0.00799501,37,0.00146818,0.0035371,0.00241183,0.0010657,34,0.002412,6.10E-05,12
83,0.0028724,24,0.00232477,0.00249836,0.0024118,0.00130447,24,0.00241201,1.05E-05,8
84,0.00718154,36,0.00178746,0.00349731,0.00241194,0.000429957,34,0.002412,4.89E-05,14
85,0.00431283,31,0.00223318,0.0028924,0.00241192,0.000578424,30,0.00241197,0.000226001,12
86,0.00223144,18,0.00237565,0.00244258,0.00241191,0.000605709,20,0.00241195,0.000343933,9
87,0.00678054,36,0.00138646,0.00309631,0.00241212,0.000680385,34,0.00241202,8.15E-05,13
88,0.00347922,28,0.00230532,0.00267743,0.00241207,0.000363348,26,0.00241203,0.000116065,11
89,0.00954044,38,0.00164297,0.00414636,0.00241177,0.00147486,34,0.00241174,0.00162117,12
90,0.0015219,27,0.00232369,0.00269581,0.00241215,0.000837733,26,0.0024119,0.00068265,11
91,0.00918629,38,0.00128882,0.00379221,0.00241208,0.000449211,34,0.0024121,0.000535621,13
92,0.00978972,39,0.000233785,0.00326289,0.00241214,0.000803604,36,0.00241212,0.000691431,16
93,0.00524141,34,0.00155718,0.00272503,0.00241183,0.0010929,32,0.00241212,0.000695614,14
94,0.00691315,36,0.00151907,0.00322892,0.00241182,0.00113667,34,0.002412,7.87E-05,12
95,0.00573328,34,0.00204906,0.00321691,0.00241198,0.00021159,32,0.00241216,0.000908496,11
96,0.00771508,37,0.00118825,0.00325716,0.00241198,0.000183425,34,0.00241196,0.00030554,13
97,0.00124214,28,0.00221231,0.00266257,0.00241212,0.000689595,28,0.00241187,0.000881666,11
98,0.00692567,36,0.0015316,0.00324145,0.00241208,0.000424033,34,0.002412,4.19E-05,12
99,0.00428651,31,0.00220686,0.00286608,0.00241201,1.77E-05,30,0.00241194,0.00044418,14
100,0.000949234,29,0.00212314,0.00266795,0.00241183,0.00108425,28,0.00241208,0.000422916,10
przyklad bez ekspansji: , , ,1,100,1,70.7269,78,-nan(ind) ,-nan(ind) ,3
