lp,x0,liczba wywolan,a,b,x*,y*,liczba wywolan,x*,y*,liczba wywolan 
1,0.000432596,13,0.00155715,0.00364444,0.00241183; ,0.00107174; ,34,0.00241225; ,0.00143936; ,16,
2,0.00316929,12,0.00204473,0.00277555,0.0024122; ,0.00114855; ,30,0.00241203; ,0.000101255; ,11,
3,0.000147753,13,0.00127231,0.00335959,0.00241205; ,0.000250027; ,34,0.00241202; ,5.92669e-05; ,9,
4,0.00792824,16,-0.00124509,0.00471641,0.00241209; ,0.000461869; ,38,0.00241205; ,0.000222941; ,17,
5,0.00865139,16,-0.000521944,0.00543955,0.00241196; ,0.000278162; ,38,0.00241203; ,0.000145946; ,11,
6,0.00758536,16,-0.00158798,0.00437352,0.00241177; ,0.00147532; ,38,0.00241214; ,0.000781018; ,15,
7,0.00806068,16,-0.00111265,0.00484885,0.00241218; ,0.00104042; ,38,0.00241197; ,0.00026876; ,16,
8,0.00562814,15,0.00020013,0.00372764,0.00241206; ,0.00029807; ,36,0.0024119; ,0.000673842; ,13,
9,0.000745384,13,0.00186994,0.00395722,0.0024121; ,0.00056322; ,34,0.00241185; ,0.00096948; ,13,
10,0.00517554,15,-0.000252469,0.00327504,0.00241207; ,0.000339905; ,36,0.00241194; ,0.000416578; ,14,
11,0.00460052,14,0.00138869,0.00347597,0.00241211; ,0.000603552; ,34,0.00241209; ,0.000508565; ,12,
12,0.00615911,15,0.000731106,0.00425862,0.00241221; ,0.001236; ,36,0.00241199; ,0.000117574; ,13,
13,0.00933709,16,0.000163757,0.00612525,0.00241198; ,0.000185863; ,38,0.0024121; ,0.000517252; ,17,
14,0.00974204,16,0.000568711,0.0065302,0.00241228; ,0.00160843; ,38,0.00241222; ,0.00126353; ,15,
15,0.00799807,16,-0.00117526,0.00478623,0.0024122; ,0.00116661; ,38,0.00241217; ,0.000993358; ,18,
16,0.00682867,15,0.00140066,0.00492817,0.00241224; ,0.00141845; ,36,0.00241201; ,1.94659e-05; ,14,
17,0.00957935,16,0.000406014,0.00636751,0.00241188; ,0.000806312; ,38,0.00241205; ,0.000251517; ,17,
18,0.00627455,15,0.00084654,0.00437405,0.00241189; ,0.000733926; ,36,0.00241203; ,0.000140576; ,14,
19,0.00926985,16,9.65172e-05,0.00605801,0.00241227; ,0.00160085; ,38,0.00241199; ,9.32201e-05; ,15,
20,0.00660152,15,0.00117352,0.00470103,0.00241192; ,0.000522073; ,36,0.002412; ,8.4062e-05; ,14,
21,0.00938833,16,0.000214995,0.00617649,0.00241202; ,7.39896e-05; ,38,0.00241209; ,0.000482977; ,17,
22,0.00350887,13,0.00160837,0.00284345,0.00241184; ,0.00101307; ,32,0.00241206; ,0.000300018; ,11,
23,0.000390757,13,0.00151531,0.0036026,0.00241193; ,0.000490022; ,34,0.00241212; ,0.000651949; ,16,
24,0.00760552,16,-0.00156781,0.00439368,0.00241178; ,0.00139534; ,38,0.00241168; ,0.00199808; ,13,
25,0.000190845,13,0.0013154,0.00340268,0.00241221; ,0.00121178; ,34,0.00241201; ,8.88014e-06; ,12,
26,0.00899576,16,-0.000177575,0.00578392,0.00241213; ,0.000726362; ,38,0.00241196; ,0.000282309; ,14,
27,0.0047929,14,0.00158106,0.00366835,0.00241178; ,0.00138378; ,34,0.00241202; ,5.28679e-05; ,15,
28,0.00885631,16,-0.000317023,0.00564447,0.00241211; ,0.000583495; ,38,0.00241221; ,0.00123495; ,13,
29,0.00818275,16,-0.000990582,0.00497091,0.00241225; ,0.00146133; ,38,0.0024119; ,0.000649855; ,14,
30,0.00517149,15,-0.000256522,0.00327099,0.00241219; ,0.00106292; ,36,0.00241187; ,0.000865652; ,14,
31,0.00403811,14,0.000826271,0.00291356,0.00241183; ,0.00110233; ,34,0.00241197; ,0.000231772; ,14,
