lp,x0,liczba wywolan,a,b,x*,y*,liczba wywolan,x*,y*,liczba wywolan 
63,0.00545175,22,0.00149179,0.00334191,0.0024122; ,0.00117342; ,34,0.00241189; ,0.00075669; ,12,
64,0.00851194,24,0.00107949,0.00455198,0.00241202; ,7.01191e-05; ,36,0.002412; ,3.71877e-05; ,13,
65,0.000615791,19,0.0017399,0.00272563,0.00241207; ,0.000386829; ,30,0.00241195; ,0.000339675; ,11,
66,0.0060092,23,0.000584051,0.00311871,0.00241185; ,0.000997511; ,34,0.00241216; ,0.000936542; ,12,
67,0.00927507,25,-0.000907386,0.00384992,0.00241221; ,0.00123057; ,38,0.002412; ,8.87003e-05; ,14,
68,0.0058519,22,0.00189194,0.00374206,0.00241189; ,0.00075043; ,34,0.0024122; ,0.00116849; ,15,
69,0.00946587,25,-0.000716588,0.00404072,0.00241221; ,0.00124013; ,38,0.00241201; ,6.64916e-06; ,14,
70,0.00763604,24,0.000203594,0.00367608,0.00241182; ,0.00116012; ,36,0.0024119; ,0.000676805; ,14,
71,0.00104578,19,0.00216989,0.00315562,0.00241185; ,0.000963624; ,30,0.00241206; ,0.000305863; ,14,
72,0.00518532,22,0.00122536,0.00307548,0.00241216; ,0.000909101; ,34,0.00241208; ,0.000433504; ,13,
73,0.00180483,16,0.002242,0.00262535,0.00241212; ,0.000643473; ,28,0.00241193; ,0.000496958; ,11,
74,0.00531331,22,0.00135335,0.00320347,0.00241183; ,0.00111203; ,34,0.00241198; ,0.000205905; ,12,
75,0.00343124,19,0.00189121,0.00261072,0.00241203; ,0.000131104; ,30,0.00241213; ,0.000704334; ,12,
76,0.00852151,24,0.00108906,0.00456155,0.00241184; ,0.0010115; ,36,0.00241208; ,0.000434136; ,13,
77,0.00329099,18,0.00216689,0.00269208,0.00241219; ,0.00107373; ,28,0.00241219; ,0.00111164; ,13,
78,0.00942021,25,-0.000762245,0.00399506,0.00241219; ,0.00110542; ,38,0.00241204; ,0.000162169; ,14,
79,0.00768975,24,0.000257306,0.00372979,0.00241215; ,0.000835267; ,36,0.0024119; ,0.000656491; ,13,
80,0.00539224,22,0.00143228,0.0032824,0.00241199; ,0.000100007; ,34,0.00241191; ,0.000597993; ,12,
81,0.00500861,22,0.00104865,0.00289877,0.00241201; ,3.99769e-06; ,34,0.00241198; ,0.000164581; ,13,
82,0.000748549,19,0.00187266,0.00285839,0.00241212; ,0.000694698; ,30,0.00241196; ,0.000335011; ,10,
83,0.00822056,24,0.000788113,0.0042606,0.0024122; ,0.00115418; ,36,0.00241195; ,0.000337109; ,14,
84,0.00713131,23,0.00170617,0.00424083,0.00241183; ,0.00111858; ,34,0.00241194; ,0.000405806; ,14,
85,0.000503909,20,0.00204394,0.00339439,0.00241186; ,0.000893862; ,32,0.002412; ,8.71184e-05; ,12,
86,0.00221415,12,0.00233824,0.00244707,0.00241204; ,0.000156795; ,22,0.00241198; ,0.000196066; ,9,
87,0.00332953,18,0.00220542,0.00273061,0.00241188; ,0.000798736; ,28,0.00241191; ,0.000621287; ,11,
88,0.00784411,24,0.000411661,0.00388415,0.002412; ,6.55867e-05; ,36,0.00241215; ,0.000828873; ,15,
89,0.000842734,19,0.00196684,0.00295257,0.00241187; ,0.00083366; ,30,0.00241198; ,0.000205606; ,12,
90,0.00533335,22,0.00137339,0.00322351,0.00241195; ,0.000360468; ,34,0.00241208; ,0.000417127; ,12,
91,0.00268255,14,0.00236345,0.00251253,0.00241209; ,0.000469733; ,24,0.00241204; ,0.000172746; ,10,
92,0.00766153,24,0.000229085,0.00370157,0.00241216; ,0.00090357; ,36,0.00241189; ,0.000735065; ,13,
93,0.000994604,19,0.00211871,0.00310444,0.0024119; ,0.000657592; ,30,0.00241192; ,0.000552642; ,12,
94,0.00598973,23,0.00056459,0.00309925,0.00241178; ,0.00137648; ,34,0.00241182; ,0.001148; ,12,
95,0.002221,12,0.0023451,0.00245392,0.00241189; ,0.000744933; ,22,0.00241202; ,8.79315e-05; ,9,
96,0.00353692,19,0.00199689,0.0027164,0.00241183; ,0.00106838; ,30,0.00241208; ,0.000413625; ,10,
97,0.00862753,24,0.00119508,0.00466757,0.00241212; ,0.000649207; ,36,0.00241203; ,0.000135816; ,14,
98,0.0058107,22,0.00185074,0.00370086,0.00241184; ,0.00105088; ,34,0.00241205; ,0.000254983; ,14,
99,0.00832814,24,0.000895689,0.00436818,0.00241198; ,0.000161169; ,36,0.00241201; ,6.25724e-06; ,14,
100,0.00596291,23,0.000537765,0.00307243,0.00241224; ,0.00139397; ,34,0.00241203; ,9.38779e-05; ,13,
przyklad bez ekspansji: , , ,1,100,1; ,70.7269; ,78,-nan(ind); ,-nan(ind); ,3,
