5; 1; 10; 
4.96947; 1.03045; 12.3584; 
4.93904; 1.06066; 14.5533; 
4.90869; 1.09063; 16.6006; 
4.87845; 1.12037; 18.5143; 
4.84829; 1.14987; 20.3065; 
4.81823; 1.17914; 21.9881; 
4.78826; 1.20818; 23.5686; 
4.75839; 1.237; 25.0565; 
4.72861; 1.26559; 26.4595; 
4.69892; 1.29397; 27.7842; 
4.66933; 1.32212; 29.0369; 
4.63983; 1.35006; 30.2228; 
4.61042; 1.37779; 31.3471; 
4.58111; 1.40531; 32.4141; 
4.55189; 1.43262; 33.4279; 
4.52276; 1.45972; 34.3922; 
4.49373; 1.48661; 35.3103; 
4.46479; 1.5133; 36.1854; 
4.43594; 1.53979; 37.0201; 
4.40719; 1.56609; 37.817; 
4.37853; 1.59218; 38.5785; 
4.34997; 1.61807; 39.3068; 
4.32149; 1.64378; 40.0039; 
4.29312; 1.66928; 40.6715; 
4.26483; 1.6946; 41.3114; 
4.23664; 1.71972; 41.9251; 
4.20854; 1.74466; 42.5141; 
4.18054; 1.76941; 43.0798; 
4.15263; 1.79397; 43.6234; 
4.12481; 1.81835; 44.146; 
4.09708; 1.84255; 44.6488; 
4.06945; 1.86656; 45.1327; 
4.04192; 1.89039; 45.5987; 
4.01447; 1.91404; 46.0477; 
3.98712; 1.93751; 46.4805; 
3.95987; 1.96081; 46.8979; 
3.9327; 1.98393; 47.3007; 
3.90563; 2.00687; 47.6894; 
3.87866; 2.02964; 48.0647; 
3.85177; 2.05224; 48.4273; 
3.82499; 2.07466; 48.7776; 
3.79829; 2.09692; 49.1163; 
3.77169; 2.119; 49.4439; 
3.74518; 2.14091; 49.7607; 
3.71876; 2.16266; 50.0673; 
3.69244; 2.18424; 50.3641; 
3.66621; 2.20565; 50.6514; 
3.64008; 2.2269; 50.9297; 
3.61404; 2.24798; 51.1994; 
3.58809; 2.2689; 51.4606; 
3.56224; 2.28966; 51.7139; 
3.53647; 2.31025; 51.9595; 
3.51081; 2.33069; 52.1976; 
3.48523; 2.35096; 52.4285; 
